City,Latitude,Longitude,Country Code
Lusaka,-15.40669,28.28713,ZM
Ndola,-12.95867,28.63659,ZM
Kitwe,-12.80243,28.21323,ZM
Kabwe,-14.4469,28.44644,ZM
Chipata,-13.63333,32.65,ZM
Luanshya,-13.13667,28.41661,ZM
Livingstone,-17.84194,25.85425,ZM
Kasama,-10.21289,31.18084,ZM
Mufulira,-12.54982,28.24071,ZM
Chingola,-12.52897,27.88382,ZM
Mongu,-15.24835,23.12741,ZM
Mansa,-11.19976,28.89431,ZM
Kalulushi,-12.84151,28.09479,ZM
Mpika,-11.83431,31.45287,ZM
Mazabuka,-15.85601,27.748,ZM
Zambezi,-13.54323,23.10467,ZM
Solwezi,-12.1688,26.38938,ZM
Choma,-16.80889,26.9875,ZM
Chinsali,-10.54142,32.08162,ZM
Chililabombwe,-12.36475,27.82286,ZM
Nchelenge,-9.34506,28.73396,ZM
Nakonde,-9.34213,32.745,ZM
Mbala,-8.84024,31.36587,ZM
Kawambwa,-9.7915,29.07913,ZM
Kataba,-11.88333,29.78333,ZM
Kapiri Mposhi,-13.97147,28.66985,ZM
Kaoma,-14.78333,24.8,ZM
Kansanshi,-12.09514,26.42727,ZM
Kalomo,-17.02581,26.48369,ZM
Kafue,-15.76911,28.18136,ZM
