City,Latitude,Longitude,Country Code
Harare,-17.82772,31.05337,ZW
Bulawayo,-20.15,28.58333,ZW
Gweru,-19.45,29.81667,ZW
Mutare,-18.9707,32.67086,ZW
Chitungwiza,-18.01274,31.07555,ZW
Chinhoyi,-17.36667,30.2,ZW
Kwekwe,-18.92809,29.81486,ZW
Kadoma,-18.33328,29.91534,ZW
Epworth,-17.89,31.1475,ZW
Ruwa,-17.88972,31.24472,ZW
Masvingo,-20.06373,30.82766,ZW
Gwanda,-20.93622,29.00698,ZW
Bindura,-17.30192,31.33056,ZW
Marondera,-18.18527,31.55193,ZW
Chegutu,-18.13021,30.14074,ZW
Beitbridge,-22.21667,30,ZW
Victoria Falls,-17.93285,25.83066,ZW
Norton,-17.88333,30.7,ZW
Kariba,-16.51667,28.8,ZW
Zvishavane,-20.32674,30.06648,ZW
Chivhu,-19.02112,30.89218,ZW
Chiredzi,-21.05,31.66667,ZW
Chipinge,-20.18833,32.62365,ZW
Shurugwi,-19.67016,30.00589,ZW
Shamva,-17.31159,31.57561,ZW
Rusape,-18.52785,32.12843,ZW
Redcliff,-19.03333,29.78333,ZW
Mashava,-20.03665,30.48225,ZW
Lupane,-18.93149,27.80696,ZW
Karoi,-16.80993,29.69247,ZW
